event,x_pos,y_pos,z_pos,trk_index,trk_nr
0,142.3234537085911,129.86385888741853,0.0,1,3.0
0,142.0773315710529,131.3578242917379,-8.5,1,3.0
0,141.82424036019935,132.84202129561194,-17.0,1,3.0
0,4.285984354821348,54.11147654453781,0.0,2,2.0
0,4.1278583132637054,55.9715533804284,-8.5,2,2.0
0,3.974471274059883,57.85074132467326,-17.0,2,2.0
0,56.5115732605424,144.98166380101483,0.0,3,-1.0
0,50.06443009616158,149.8517381305661,-8.5,3,1.0
0,43.638162157335216,154.72572923631333,-17.0,3,-1.0
0,58.0211786964752,115.78762915302212,0.0,4,1.0
0,55.11507695924202,129.87361044556926,-8.5,4,1.0
0,52.22320051273449,143.97276250147192,-17.0,4,1.0
1,52.99090575476223,109.08775012875196,0.0,1,1.0
1,55.2632671511986,113.66450248251924,-8.5,1,1.0
1,57.53151971191404,118.21886836837476,-17.0,1,1.0
1,93.53892292308628,94.5479361040876,0.0,2,4.0
1,94.31073279897484,93.36024426808676,-8.5,2,4.0
1,95.07502617911668,92.16609081855223,-17.0,2,4.0
1,30.80340206635067,40.40393244923031,0.0,3,2.0
1,54.270144796378304,61.36538189444921,-8.5,3,2.0
1,77.74032506135337,82.31520290653256,-17.0,3,2.0
1,90.03582834368025,80.84595287093474,0.0,4,3.0
1,71.71121389338927,97.79621483589386,-8.5,4,3.0
1,53.382366630379366,114.7442720037239,-17.0,4,3.0
2,22.617179524556494,131.2316361623351,0.0,1,3.0
2,26.47015245496345,127.01392613531615,-8.5,1,3.0
2,30.316713781113947,122.81917620052036,-17.0,1,3.0
2,96.03672490339902,0.0983810588972615,0.0,2,2.0
2,99.7985011150699,2.4630001036432088,-8.5,2,2.0
2,103.54258679299822,4.828898873104685,-17.0,2,2.0
2,129.73910319178754,45.59649099939702,0.0,3,1.0
2,129.9086089885882,44.10753888963461,-8.5,3,1.0
2,130.1087156639854,42.617188974626416,-17.0,3,1.0
2,17.411844381930347,113.631333338333,0.0,4,4.0
2,15.315615746327095,112.06443394892013,-8.5,4,4.0
2,13.23164736897382,110.51936991140616,-17.0,4,4.0
3,27.018107511410623,71.78614351109175,0.0,1,1.0
3,31.785576125377183,74.7363486419442,-8.5,1,1.0
3,36.54952402135312,77.69430505262413,-17.0,1,1.0
3,111.5115744774162,19.9876557504576,0.0,2,3.0
3,112.32543342503082,18.721991928448464,-8.5,2,3.0
3,113.16347555106078,17.46781080983374,-17.0,2,3.0
3,113.16195960509026,111.92151212303293,0.0,3,4.0
3,123.77368247480608,87.16061612635487,-8.5,3,4.0
3,134.39267338736536,62.42251965990676,-17.0,3,4.0
3,66.4270180327017,149.18194316827206,0.0,4,2.0
3,65.66786301693791,146.36884085540368,-8.5,4,2.0
3,64.8869365668702,143.571574501063,-17.0,4,2.0
4,38.78770949240195,9.949214664829226,0.0,1,2.0
4,43.79705621228579,19.726649274670024,-8.5,1,2.0
4,48.8055344426902,29.497171005157,-17.0,1,2.0
4,37.26543343959821,13.67388404178847,0.0,2,1.0
4,35.05750436694107,17.137207951062216,-8.5,2,1.0
4,32.84627913045647,20.592389506927876,-17.0,2,1.0
4,49.16732039929413,112.68558797659036,0.0,3,4.0
4,53.19481910091426,109.8052060957464,-8.5,3,4.0
4,57.20256993691118,106.93645188033112,-17.0,3,4.0
4,75.4832053976468,60.88253212454151,0.0,4,3.0
4,71.3941870781208,72.76939040750118,-8.5,4,3.0
4,67.31681334269075,84.66385032261965,-17.0,4,3.0
5,83.71403703119735,20.761575479847647,0.0,1,1.0
5,83.4966023898544,17.08382908366064,-8.5,1,1.0
5,83.2772922595517,13.40068047002818,-17.0,1,1.0
5,117.25790189764535,11.07404335688216,0.0,2,4.0
5,120.43845800490696,11.747063702126388,-8.5,2,4.0
5,123.59584360896451,12.416582016045869,-17.0,2,4.0
5,113.29700446804192,117.25995379059758,0.0,3,2.0
5,113.3010728259937,117.25695033309358,-8.5,3,2.0
5,113.30700886538514,117.264361005206,-17.0,3,2.0
5,41.94949776411193,77.7163304753089,0.0,4,3.0
5,43.06484469374709,62.5861263391371,-8.5,4,3.0
5,44.181624997290506,47.45822297769268,-17.0,4,3.0
6,83.49381941353518,40.67373604101281,0.0,1,4.0
6,82.65556587276112,44.557239936105496,-8.5,1,4.0
6,81.80781677888294,48.42847483244712,-17.0,1,4.0
6,105.61973762217345,13.122226359222488,0.0,2,3.0
6,89.80302810310177,16.667406436349577,-8.5,2,3.0
6,73.97624648541907,20.20688084778381,-17.0,2,3.0
6,12.975382430389272,109.04148696439182,0.0,3,2.0
6,19.8182991759262,114.37854787071709,-8.5,3,2.0
6,26.65956230384733,119.70908985708314,-17.0,3,2.0
6,27.903506915619182,92.44958218104206,0.0,4,1.0
6,31.804132094266585,96.073273947326,-8.5,4,1.0
6,35.72665151612109,99.71863074090084,-17.0,4,1.0
7,4.466905410836163,84.15967138595619,0.0,1,4.0
7,8.467470785331676,70.07715384450478,-8.5,1,4.0
7,12.464401176660974,55.98560533248623,-17.0,1,4.0
7,11.247883812217813,93.76552544163806,0.0,2,3.0
7,14.315445767361478,94.90190278711776,-8.5,2,3.0
7,17.373376579332678,96.03065858074108,-17.0,2,3.0
7,112.799392481111,40.99134564334634,0.0,3,1.0
7,113.8140405387742,38.13351668253303,-8.5,3,1.0
7,114.85075965822811,35.27532749817866,-17.0,3,1.0
7,125.37870336788264,19.77183394375672,0.0,4,2.0
7,127.92893258563603,19.20441698437549,-8.5,4,2.0
