dx,dy,dz
0.302314,-0.462136,-0.833689
-0.719054,0.362172,-0.593122
0.565887,-0.740182,-0.363183
0.975993,-0.097306,-0.194858
-0.777283,0.154690,-0.609838
-0.706087,0.220492,-0.672923
-0.696704,0.269265,-0.664906
-0.298689,-0.828297,-0.474034
0.415064,-0.222550,-0.882152
0.163902,-0.591835,-0.789220
-0.123846,0.660219,-0.740792
-0.886041,0.303767,-0.350223
0.081878,-0.718202,-0.691001
0.345434,-0.756362,-0.555510
0.745861,0.356320,-0.562785
-0.466153,-0.549863,-0.693075
-0.605399,-0.562692,-0.562912
-0.713484,-0.658680,-0.238918
0.680334,0.135524,-0.720263
-0.469752,-0.177781,-0.864712
-0.453924,-0.244430,-0.856858
-0.882428,0.221436,-0.415075
-0.042658,-0.598732,-0.799812
-0.471902,0.449729,-0.758322
0.837559,-0.435055,-0.330489
0.300693,0.006529,-0.953699
-0.278158,-0.764572,-0.581428
-0.837234,0.090607,-0.539287
-0.972707,0.089313,-0.214158
0.183304,0.620277,-0.762664
-0.193328,-0.810758,-0.552535
0.176132,0.512023,-0.840720
0.209422,-0.481590,-0.851007
-0.286235,0.792094,-0.539126
0.426733,-0.520086,-0.739871
-0.207237,-0.925134,-0.318089
0.360257,-0.870351,-0.335714
-0.043688,0.510110,-0.858999
0.091299,-0.519127,-0.849807
0.661645,0.391495,-0.639497
0.162210,0.817444,-0.552696
-0.715699,0.135560,-0.685127
0.445488,-0.599905,-0.664571
0.749116,-0.617366,-0.240174
-0.336829,0.324967,-0.883710
0.781954,0.166888,-0.600580
-0.755710,-0.077704,-0.650280
0.844047,-0.175943,-0.506585
-0.034952,0.924973,-0.378422
0.598209,0.604801,-0.525701
0.416110,0.352824,-0.838074
0.036842,-0.076930,-0.996356
-0.292577,-0.276414,-0.915420
0.382676,-0.747930,-0.542365
-0.326184,0.846142,-0.421483
0.768765,-0.618406,-0.163019
0.197325,-0.043275,-0.979383
0.760374,0.001654,-0.649484
0.866337,0.172691,-0.468655
0.465690,0.168827,-0.868695
0.207504,-0.331728,-0.920271
-0.100278,-0.226973,-0.968725
-0.560605,0.655358,-0.506189
-0.337291,-0.668727,-0.662601
0.324732,0.108308,-0.939584
