dx,dy,dz
0.091936,0.934119,-0.344921
-0.315063,0.675576,-0.666583
0.647001,-0.222714,-0.729238
-0.091431,-0.023207,-0.995541
0.076526,0.509529,-0.857044
-0.548744,0.029333,-0.835476
0.306143,0.891360,-0.334295
-0.084345,-0.187412,-0.978654
0.309333,-0.690812,-0.653522
0.378300,0.433140,-0.818095
-0.162115,0.895940,-0.413534
0.239525,-0.221532,-0.945279
-0.401845,-0.191605,-0.895437
0.412342,-0.228929,-0.881797
-0.042236,-0.062344,-0.997161
-0.547406,0.603545,-0.579724
-0.056518,-0.178528,-0.982310
0.236840,0.034927,-0.970921
0.845270,-0.504913,-0.174878
-0.210945,0.434836,-0.875454
-0.544397,-0.624529,-0.559996
0.353494,0.757852,-0.548364
0.656248,0.715443,-0.239751
-0.014169,-0.058610,-0.998180
0.254300,-0.386830,-0.886394
0.353506,-0.173918,-0.919123
-0.203814,0.171029,-0.963955
-0.117580,-0.129684,-0.984559
-0.134598,-0.020051,-0.990697
0.200083,0.246833,-0.948177
-0.056873,0.091515,-0.994178
-0.343379,-0.065202,-0.936931
0.698113,-0.185169,-0.691629
-0.593164,-0.725366,-0.349286
0.074602,-0.242223,-0.967348
-0.033457,-0.648426,-0.760542
-0.080229,-0.477637,-0.874886
0.262473,0.549463,-0.793220
-0.471668,-0.607169,-0.639433
-0.051409,0.069034,-0.996289
-0.775516,-0.517948,-0.360977
-0.120672,-0.051884,-0.991336
-0.081877,0.314956,-0.945568
0.004069,-0.065411,-0.997850
-0.092818,-0.516525,-0.851227
-0.261743,-0.251388,-0.931823
-0.052632,0.489008,-0.870690
0.371770,0.205767,-0.905233
0.031123,0.178898,-0.983375
-0.464157,0.376602,-0.801704
-0.269643,0.198761,-0.942224
0.754905,0.018398,-0.655576
0.135770,-0.225918,-0.964639
0.007347,-0.276025,-0.961122
0.869304,0.021312,-0.493817
0.735459,-0.296773,-0.609119
-0.153350,-0.138505,-0.978417
-0.098976,0.005950,-0.995072
-0.295204,0.860944,-0.414281
0.017933,0.930098,-0.366872
0.041665,0.113193,-0.992699
0.079300,0.898208,-0.432358
-0.173164,-0.625305,-0.760925
-0.611239,-0.170913,-0.772772
-0.082328,0.818469,-0.568622
-0.399971,-0.610565,-0.683545
0.357287,0.359843,-0.861893
-0.248557,-0.951585,-0.180845
-0.173731,-0.715706,-0.676449
0.429469,-0.325368,-0.842432
-0.104221,-0.655326,-0.748121
-0.712337,0.131352,-0.689437
0.635200,0.081495,-0.768036
0.090598,-0.111481,-0.989628
0.025110,0.050052,-0.998431
0.348445,0.064968,-0.935075
0.054855,0.579071,-0.813429
-0.043295,-0.875482,-0.481307
-0.113050,0.020873,-0.993370
0.374672,0.757730,-0.534290
-0.778814,0.475582,-0.408987
-0.159394,0.579056,-0.799555
0.172758,0.144013,-0.974379
0.092071,0.681858,-0.725667
-0.115100,0.189779,-0.975057
0.607849,0.236244,-0.758095
0.241752,-0.400485,-0.883837
-0.003334,0.011487,-0.999928
-0.193974,-0.410604,-0.890942
0.825873,0.519730,-0.218664
0.256077,-0.743068,-0.618283
-0.179647,0.184230,-0.966326
-0.903351,-0.138143,-0.406047
-0.211477,-0.280259,-0.936340
-0.017556,0.143970,-0.989426
-0.217242,0.860998,-0.459879
-0.239997,0.564214,-0.789977
0.160502,-0.225061,-0.961034
-0.563125,-0.577818,-0.590776
-0.217206,0.100993,-0.970887
-0.439685,0.081504,-0.894446
0.259946,-0.361751,-0.895301
-0.334347,0.521095,-0.785285
0.435413,-0.546331,-0.715499
-0.404804,0.047654,-0.913161
0.287077,-0.322569,-0.901962
-0.093631,-0.920656,-0.378979
0.059378,-0.269757,-0.961096
0.926732,0.094551,-0.363631
-0.393419,-0.048975,-0.918054
-0.136596,-0.304756,-0.942584
0.037393,0.030505,-0.998835
-0.569633,0.370886,-0.733459
-0.019771,-0.628880,-0.777251
-0.848911,0.130743,-0.512109
-0.374333,-0.618875,-0.690557
0.546889,-0.418635,-0.725023
0.246785,0.708861,-0.660767
0.401536,0.625833,-0.668657
-0.210127,-0.287517,-0.934441
0.190672,0.887109,-0.420335
-0.316326,0.078699,-0.945380
-0.153976,0.104225,-0.982562
0.552879,0.390988,-0.735835
-0.284679,-0.581101,-0.762417
0.348270,-0.346919,-0.870836
0.019397,-0.256955,-0.966229
0.404362,0.345689,-0.846753
-0.088343,0.005522,-0.996075
0.719315,-0.677718,-0.152593
0.768709,0.392729,-0.504827
0.090127,-0.168379,-0.981593
-0.493580,-0.685513,-0.535211
0.202517,0.277162,-0.939238
0.170140,0.168991,-0.970822
0.920631,-0.332288,-0.204995
0.086961,0.987804,-0.129155
0.816383,-0.154947,-0.556336
-0.453187,0.558220,-0.694991
0.037812,-0.106998,-0.993540
0.583482,-0.330178,-0.741978
-0.671923,0.472835,-0.570041
-0.206026,0.332889,-0.920184
0.269828,-0.187202,-0.944536
-0.302736,0.418994,-0.856034
0.870666,0.180699,-0.457480
-0.784701,-0.456252,-0.419617
0.749328,-0.627201,-0.212432
-0.730124,-0.587813,-0.348417
-0.326341,0.218734,-0.919596
0.667125,0.534950,-0.518434
0.351832,-0.575054,-0.738599
-0.866955,0.293603,-0.402725
0.000330,-0.003229,-0.999995
0.085814,-0.111320,-0.990073
-0.478900,0.625014,-0.616452
0.164724,-0.519341,-0.838541
-0.215028,0.335558,-0.917150
-0.169449,-0.443915,-0.879901
-0.029008,0.478610,-0.877548
0.080693,0.293636,-0.952505
0.015313,-0.092118,-0.995630
0.113425,0.972801,-0.201973
0.068463,-0.033979,-0.997075
0.566790,-0.745165,-0.351394
0.097529,-0.483395,-0.869953
-0.652639,-0.687088,-0.319329
-0.142934,-0.073562,-0.986995
-0.725672,-0.545216,-0.419690
0.264961,0.190282,-0.945298
0.021030,-0.223018,-0.974587
-0.233218,-0.323716,-0.916961
-0.830796,-0.231323,-0.506230
0.151315,0.958162,-0.242960
-0.058687,-0.039539,-0.997493
0.912459,0.175002,-0.369855
0.247501,-0.416221,-0.874931
0.343040,-0.044174,-0.938281
0.440678,-0.055449,-0.895951
-0.164593,0.538538,-0.826369
0.141519,0.251915,-0.957346
-0.387785,-0.555889,-0.735262
-0.247583,0.407124,-0.879177
-0.433039,-0.726939,-0.532951
-0.213371,0.398806,-0.891867
0.391807,-0.899957,-0.191221
0.042052,-0.144122,-0.988666
0.181847,-0.942189,-0.281447
-0.040061,0.020113,-0.998995
0.767435,-0.127848,-0.628250
0.074958,0.407554,-0.910100
0.377526,0.583463,-0.719059
0.530726,0.027123,-0.847109
-0.530365,0.742159,-0.409773
0.255440,-0.411033,-0.875101
0.361672,0.692700,-0.623987
-0.340504,0.306774,-0.888790
-0.560730,-0.058764,-0.825911
-0.164253,0.644358,-0.746876
0.209151,-0.946742,-0.244819
0.486039,0.478664,-0.731196
-0.164091,0.590178,-0.790420
0.121887,0.217184,-0.968491
0.210765,-0.409485,-0.887637
0.031367,-0.714405,-0.699029
0.155151,-0.121352,-0.980409
-0.029080,0.220255,-0.975009
-0.527147,-0.163724,-0.833853
-0.225589,0.899300,-0.374659
0.819372,-0.483025,-0.308734
0.386969,-0.288371,-0.875841
0.208302,0.185503,-0.960312
-0.419601,-0.855847,-0.302426
-0.298685,0.101203,-0.948971
0.218180,-0.021301,-0.975676
-0.608436,0.485143,-0.628045
-0.928260,0.271262,-0.254462
0.634325,-0.484782,-0.602178
0.244928,0.002487,-0.969538
0.633505,-0.659607,-0.404461
0.165419,0.881862,-0.441539
0.435577,0.764044,-0.475931
-0.862430,-0.046441,-0.504041
-0.156952,-0.198297,-0.967494
-0.145363,0.743090,-0.653213
0.052790,-0.009475,-0.998561
-0.472089,-0.416251,-0.777089
0.500570,0.246623,-0.829823
-0.275058,-0.568829,-0.775098
-0.021380,0.026049,-0.999432
-0.271900,0.712569,-0.646773
-0.265254,0.205774,-0.941965
0.548568,0.502835,-0.668005
-0.535494,-0.668436,-0.516177
-0.412598,-0.674019,-0.612749
-0.428061,0.771422,-0.470821
-0.054020,-0.285066,-0.956984
0.737408,0.626697,-0.251953
-0.228051,0.418616,-0.879064
-0.809624,-0.263882,-0.524286
-0.116565,0.090242,-0.989075
-0.020877,-0.032332,-0.999259
-0.018828,-0.189428,-0.981714
-0.952851,-0.006559,-0.303367
-0.356438,-0.582713,-0.730341
-0.776725,-0.462903,-0.427106
0.321959,-0.473061,-0.820095
0.015374,0.276136,-0.960995
0.037356,0.508453,-0.860279
-0.288794,-0.109487,-0.951110
-0.309877,0.823658,-0.474935
-0.131725,-0.563960,-0.815228
0.020908,-0.093373,-0.995412
0.841184,-0.373247,-0.391276
0.169021,0.339547,-0.925278
-0.272201,0.113599,-0.955511
-0.414188,-0.278618,-0.866499
0.027473,-0.364375,-0.930847
0.447617,0.133074,-0.884269
-0.012134,-0.352020,-0.935914
