event,x_pos,y_pos,z_pos,trk_index,trk_nr
0,1.0669344642946177,9.820943321954864,0.0,1,6.0
0,9.207573452582512,11.054443084164204,-8.5,1,6.0
0,17.331560089240224,12.293992862117886,-17.0,1,2.0
0,49.291029560345294,20.131026535261363,0.0,2,7.0
0,44.859001563905096,21.04073995418788,-8.5,2,2.0
0,40.45950523293135,21.96739639199289,-17.0,2,1.0
0,67.96778856723971,83.10337146190881,0.0,3,2.0
0,65.97446955720191,76.88485981888446,-8.5,3,1.0
0,63.99895125696614,70.66400791302176,-17.0,3,4.0
0,63.718802149211854,126.2705520122828,0.0,4,2.0
0,68.58462276514267,116.89800184822374,-8.5,4,1.0
0,73.46239801774814,107.53868481748935,-17.0,4,7.0
0,124.28031616984164,28.87501460440364,0.0,5,5.0
0,113.6741423072281,25.52405598912912,-8.5,5,5.0
0,103.0629593089228,22.157416662813432,-17.0,5,5.0
0,116.4456983463831,92.00071049770573,0.0,6,3.0
0,119.84522153806208,93.23034432295302,-8.5,6,3.0
0,123.22246784828764,94.4468836852303,-17.0,6,3.0
0,29.55670489070237,83.04046579660506,0.0,7,8.0
0,24.601634513088783,61.171359585768,-8.5,7,-1.0
0,19.626109938808177,39.310561872908266,-17.0,7,2.0
0,8.178043344061578,19.70283590266056,0.0,8,4.0
0,33.57282429357514,16.898221135007226,-8.5,8,4.0
0,58.98502487295362,14.07716485401681,-17.0,8,4.0
0,92.06037224927648,52.77180370940805,0.0,9,1.0
0,90.33523091760752,52.295945692948855,-8.5,9,-1.0
0,88.62335475941607,51.81756858968563,-17.0,9,8.0
1,106.9224210402775,73.44230415695037,0.0,1,1.0
1,77.37141310324998,57.55247079173617,-8.5,1,6.0
1,47.8221523759927,41.66626451554124,-17.0,1,2.0
1,72.34149531848945,63.23196126736967,0.0,2,7.0
1,59.73748670525072,53.66400465207614,-8.5,2,-1.0
1,47.12766058491176,44.09375526158303,-17.0,2,2.0
1,110.8817955568174,70.7367348870263,0.0,3,1.0
1,122.92423809860324,76.1804411178067,-8.5,3,6.0
1,134.97236927503795,81.6326629028073,-17.0,3,6.0
1,68.46694691914858,84.26680048106002,0.0,4,3.0
1,73.28095026606253,114.74342214847034,-8.5,4,3.0
1,78.10590115706515,145.23302355150733,-17.0,4,3.0
1,8.258773483143134,120.32713798499049,0.0,5,1.0
1,8.904428970013628,119.96598210697124,-8.5,5,1.0
1,9.555823997969748,119.6190479320492,-17.0,5,1.0
1,86.94535681686547,93.9701181101496,0.0,6,2.0
1,86.16264096525245,92.75892463513355,-8.5,6,2.0
1,85.37422236089984,91.56202742107918,-17.0,6,2.0
1,107.9472892116785,8.932275808797646,0.0,7,4.0
1,105.86722085701706,8.332412993740233,-8.5,7,4.0
1,103.774953902345,7.723829730957697,-17.0,7,4.0
1,3.6523611880265054,71.46610499649404,0.0,8,5.0
1,8.008378189318647,75.2847389404457,-8.5,8,5.0
1,12.380321710192671,79.10545042094391,-17.0,8,5.0
1,60.52756390384286,26.02794955945524,0.0,9,3.0
1,67.06253851837366,24.594304144697983,-8.5,9,-1.0
1,73.60883411025115,23.168099802029467,-17.0,9,7.0
2,147.1345994681692,14.34746726520068,0.0,1,2.0
2,134.88811534373406,20.9602832142216,-8.5,1,-1.0
2,122.64956744860828,27.57491716450909,-17.0,1,-1.0
2,112.6657159913688,129.55334501724957,0.0,2,5.0
2,110.65957438349992,124.5887163983076,-8.5,2,5.0
2,108.66702637280125,119.62265295380789,-17.0,2,5.0
2,148.91743438280406,16.07605816325709,0.0,3,2.0
2,148.9789108074331,15.995998578070678,-8.5,3,2.0
2,149.0447384233487,15.924705494438122,-17.0,3,2.0
2,130.00625900050153,72.83033122037283,0.0,4,6.0
2,128.77940564052233,71.80279691680244,-8.5,4,6.0
2,127.5569249154222,70.78129430410192,-17.0,4,6.0
2,112.53213671554478,86.88017594134375,0.0,5,3.0
2,111.8820717425734,86.76836545077295,-8.5,5,3.0
2,111.24219766210174,86.63721228357663,-17.0,5,3.0
2,40.47889854101271,28.41376104168644,0.0,6,1.0
2,38.18169045944944,27.141753144278503,-8.5,6,1.0
2,35.858143058252914,25.862872301748546,-17.0,6,1.0
2,127.59894850691784,4.87932433267114,0.0,7,7.0
2,124.03932317120712,11.131619037093364,-8.5,7,7.0
2,120.47474499343404,17.376039618277993,-17.0,7,2.0
2,18.801188737465885,28.337327962372555,0.0,8,1.0
2,18.085843279310577,27.17047504604891,-8.5,8,1.0
2,17.379610557558166,25.98773101872716,-17.0,8,1.0
2,39.544315838003214,93.4474062459035,0.0,9,4.0
2,36.55615943175115,94.89855549606888,-8.5,9,4.0
2,33.54145811140953,96.3633484074807,-17.0,9,4.0
3,135.0258524373754,30.020868455238936,0.0,1,1.0
3,133.46011569992203,29.9951123356336,-8.5,1,2.0
3,131.88613745788444,29.966486844360897,-17.0,1,7.0
3,133.8512233362724,122.66947290307452,0.0,2,1.0
3,133.95583623024484,122.72574157719824,-8.5,2,2.0
3,134.07386606774222,122.76929083896523,-17.0,2,7.0
3,85.16601016150061,110.47551602089352,0.0,3,5.0
3,82.43931296949876,109.6397093563029,-8.5,3,5.0
3,79.71085131451129,108.81691104235146,-17.0,3,5.0
3,74.14617750745805,122.85316139714467,0.0,4,7.0
3,74.0675976496705,123.23312619052103,-8.5,4,-1.0
3,73.98459578073515,123.59796863234544,-17.0,4,1.0
3,100.9802522187107,58.19385276396553,0.0,5,-1.0
3,103.62957411587011,55.33961652643115,-8.5,5,1.0
3,106.2725796464423,52.49547149219112,-17.0,5,2.0
3,20.822020871438145,39.11526909541711,0.0,6,3.0
3,16.16594123709692,44.93545066233673,-8.5,6,3.0
3,11.506516824817725,50.74732395817997,-17.0,6,3.0
3,1.2186817264046343,108.84202967607575,0.0,7,6.0
3,1.0214069893202058,108.65346234382376,-8.5,7,6.0
3,0.8007313906076752,108.4620534243449,-17.0,7,6.0
3,121.37669806526024,5.272020874515886,0.0,8,4.0
3,118.47259420743684,9.306671795916431,-8.5,8,4.0
3,115.57879248271004,13.350124027372216,-17.0,8,4.0
3,132.82239149245964,118.88675776622048,0.0,9,1.0
3,130.5880585270811,115.7245720928166,-8.5,9,2.0
3,128.3669377691194,112.56411276272884,-17.0,9,7.0
4,91.40374526175988,47.195108091314665,0.0,1,2.0
4,92.2093069871878,47.68354994984322,-8.5,1,-1.0
4,92.99831950475196,48.18377052533133,-17.0,1,4.0
4,79.59494533596771,83.87736939951166,0.0,2,6.0
4,84.61388161205333,81.39043969604474,-8.5,2,2.0
4,89.6340710194908,78.90210283403898,-17.0,2,7.0
4,129.93180038882318,76.05853503176098,0.0,3,7.0
4,129.97755954123804,70.45479749226462,-8.5,3,4.0
4,130.01848144649588,64.84761115342928,-17.0,3,1.0
4,118.5070813744764,105.78195914307824,0.0,4,5.0
4,128.05050907004423,106.49129482599292,-8.5,4,1.0
4,137.60567068441114,107.21220026164391,-17.0,4,5.0
4,36.72501191427937,51.04289978796607,0.0,5,2.0
4,43.40038990761583,56.56965395334614,-8.5,5,-1.0
4,50.07351365067069,62.09294577540792,-17.0,5,1.0
4,76.07836625534841,16.97404591658453,0.0,6,3.0
4,74.55179232653154,18.339405067611175,-8.5,6,3.0
4,73.01947825910644,19.71443719824055,-17.0,6,3.0
4,47.82092462707954,141.1545204346939,0.0,7,1.0
4,49.90458794944467,146.16347400197083,-8.5,7,8.0
4,51.98847419958579,151.19317545634175,-17.0,7,8.0
4,5.905791492876482,143.37447820036414,0.0,8,1.0
